folder_name,gps_speed,ground_truth_dist,predicted_dist_raw,predicted_dist_filtered
20260212043643_894,0.06,0.8639581340703116,835.0115042932217,835.0115042932217
20260212043644_317,0.03,0.8639925266698886,838.2638890724843,838.2638890724843
20260212043644_731,0.03,0.8628429476367182,843.1969794028923,843.1969794028923
20260212043645_146,0.03,0.8630793694947337,830.1502228575572,830.1502228575572
20260212043645_564,0.13,0.8634070429508693,832.7095013972671,832.7095013972671
20260212043645_980,0.13,0.8644575341703824,832.8927344383469,832.8927344383469
20260212043646_394,0.06,0.863600291459002,836.2850497937749,832.8927344383469
20260212043646_814,0.06,0.8628148550419283,833.756151265366,833.756151265366
20260212043647_228,0.05,0.8629491545658894,834.2637085704258,834.2637085704258
20260212043647_642,0.05,0.8635635365726574,834.9419250215494,834.9419250215494
20260212043648_056,0.05,0.863668207300323,835.7901278050973,835.7901278050973
20260212043648_467,0.11,0.8637610064298512,824.099401089269,834.9419250215494
20260212043648_881,0.11,0.8638118663907979,829.018570865451,829.018570865451
20260212043649_294,0.02,0.8647813044749224,834.4469715750263,834.4469715750263
20260212043649_708,0.02,0.8636370657414256,860.2315426197779,834.4469715750263
20260212043650_127,0.02,0.8636982041792389,853.7853192674703,853.7853192674703
20260212043650_539,0.06,0.8639461275597703,869.4068342448345,869.4068342448345
20260212043650_953,0.06,0.864360580281102,871.1028707047637,871.1028707047637
20260212043651_369,0.01,0.8633907470838034,869.2364917493413,869.2364917493413
20260212043651_785,0.01,0.8639945589178895,867.3704493197467,867.3704493197467
20260212043652_200,0.06,0.8627752557428253,846.8439825942061,867.3704493197467
20260212043652_618,0.06,0.8638774942454427,861.7716561882344,861.7716561882344
20260212043653_032,0.06,0.8639663568571547,849.3879296327734,849.3879296327734
20260212043653_447,0.02,0.8639907607518962,858.5488261582043,858.5488261582043
20260212043653_879,0.02,0.8636483507364683,860.4141728548325,860.4141728548325
20260212043654_264,0.06,0.8644555533210028,829.0307694679744,858.5488261582043
20260212043654_678,0.06,0.8630243563307802,821.2273286258368,821.2273286258368
20260212043655_092,0.06,0.8633024388573405,828.5218494130525,828.5218494130525
20260212043655_509,0.1,0.8628353684762781,831.4054085338036,831.4054085338036
20260212043655_923,0.1,0.8629547880677979,856.6820924520711,831.4054085338036
20260212043656_339,0.05,0.8629919293875274,858.5481326534517,858.5481326534517
20260212043656_755,0.05,0.8637231586080497,856.1728416384628,856.1728416384628
20260212043657_170,0.05,0.8637760974327356,843.4498451805899,856.1728416384628
20260212043657_588,0.05,0.8640825319923522,834.2886138213438,834.2886138213438
20260212043658_007,0.05,0.8640226653483998,854.8303125695348,854.8303125695348
20260212043658_419,0.1,0.8643276646563478,842.2767417955429,842.2767417955429
20260212043658_836,0.1,0.8638624849062495,836.5092374940169,836.5092374940169
20260212043659_252,0.05,0.8649518599173788,840.3959718519376,840.3959718519376
20260212043659_670,0.05,0.8641699129443766,825.9765819432952,825.9765819432952
20260212043700_087,0.05,0.8622966623423494,824.2945998760408,824.2945998760408
20260212043700_506,0.05,0.8628243458957676,834.4728483981174,825.9765819432952
20260212043700_943,0.05,0.8631190133945563,826.6692803911418,826.6692803911418
20260212043701_358,0.1,0.8636355590534801,831.9272132610882,831.9272132610882
20260212043701_772,0.1,0.8647564387632902,869.2492830531789,831.9272132610882
20260212043702_185,0.07,0.8640598619953685,832.6064561329044,832.6064561329044
20260212043702_600,0.07,0.8640106857403108,833.28467581962,833.28467581962
20260212043703_019,0.07,0.8638550595714329,827.8564600506465,832.6064561329044
20260212043703_430,0.09,0.8639057887214314,841.088591994079,841.088591994079
20260212043703_843,0.09,0.8640537522276232,841.0882375231427,841.0882375231427
20260212043704_264,0.09,0.8640147617055111,817.6768919203065,841.0882375231427
20260212043704_678,0.07,0.8634251350566944,819.8829068070488,819.8829068070488
20260212043705_091,0.07,0.8625392527149447,846.5168021864625,819.8829068070488
20260212043705_509,0.04,0.8627255922768415,837.1857804204799,837.1857804204799
20260212043705_922,0.04,0.863545010256368,839.9007390030413,839.9007390030413
20260212043706_336,0.11,0.8635792984416552,835.99895815128,835.99895815128
20260212043706_753,0.11,0.8645048398345396,832.9460633532743,832.9460633532743
